,id,state,units_n,con_type,status,loi_date,closedate,concomdate,stabdate,totalcost,hardcost,sources_n,df,yr_pis
22,23.0,TX,120.0,New Construction,Stabilized,11/20/14,7/2/15,4/3/17,9/1/18,"$17,335,257 ","$12,152,195 ",3.0,g,2017
23,24.0,CA,28.0,New Construction,Stabilized,6/25/08,8/1/08,10/14/09,4/1/10,"$10,969,152 ","$7,152,853 ",6.0,g,2009
24,25.0,CA,70.0,New Construction,Stabilized,8/6/07,11/30/07,12/11/08,6/1/11,"$22,787,209 ","$14,841,758 ",5.0,g,2008
25,26.0,CA,73.0,New Construction,Stabilized,,8/1/06,10/23/07,2/1/09,"$18,901,811 ","$13,375,074 ",6.0,g,2007
26,27.0,VA,33.0,Rehab,Stabilized,2/15/08,9/1/08,9/1/09,10/6/15,"$8,811,640 ","$2,661,076 ",3.0,g,2009
27,28.0,NY,155.0,New Construction,Stabilized,1/8/13,6/27/13,12/8/15,10/1/17,"$48,569,388 ","$30,775,920 ",7.0,g,2015
28,29.0,VA,44.0,New Construction,Stabilized,8/6/14,12/24/15,12/1/16,5/1/18,"$7,469,234 ","$5,014,908 ",2.0,g,2016
29,30.0,NY,129.0,New Construction,Construction,11/28/17,6/20/19,,,,"$39,779,818 ",6.0,g,
30,31.0,TX,207.0,New Construction,Pre-stabilized,9/14/11,12/22/11,2/12/15,,,"$21,535,541 ",4.0,g,2015
31,32.0,TX,116.0,New Construction,Pre-stabilized,9/14/11,12/22/11,2/13/15,,,"$11,636,612 ",6.0,g,2015
32,33.0,VA,100.0,New Construction,Stabilized,8/13/07,10/31/07,5/20/09,3/15/10,"$28,774,022 ","$38,956,976 ",3.0,g,2009
33,34.0,NY,50.0,Rehab,Stabilized,5/23/11,10/20/11,8/24/12,1/1/13,"$4,806,062 ","$696,431 ",2.0,g,2012
34,35.0,TX,330.0,Rehab,Stabilized,,12/27/06,11/27/07,3/31/12,"$16,072,193 ","$11,207,094 ",1.0,g,2007
35,36.0,TX,216.0,Rehab,Stabilized,9/18/06,5/29/07,7/24/08,8/1/09,"$17,157,829 ","$8,847,956 ",5.0,g,2008
36,37.0,CA,116.0,Rehab,Stabilized,8/2/12,1/25/13,12/15/14,2/1/16,"$41,597,090 ","$27,461,744 ",7.0,g,2014
37,38.0,CA,152.0,Rehab - TIP,Stabilized,3/31/16,12/1/16,12/1/17,12/4/18,"$29,607,692 ","$7,107,622 ",2.0,g,2017
38,39.0,CA,32.0,Rehab,Stabilized,6/6/13,8/29/13,11/30/13,7/1/18,"$6,345,455 ","$1,534,944 ",4.0,g,2013
39,40.0,CA,37.0,Rehab,Construction,10/17/18,3/15/19,,,,"$8,959,790 ",3.0,g,
40,41.0,CA,48.0,Rehab - TIP,Operational,5/15/18,10/30/18,9/15/19,,,"$5,103,220 ",3.0,g,2019
41,42.0,CA,10.0,Rehab - TIP,Pre-stabilized,9/29/17,2/28/18,8/31/18,,"$5,957,504 ","$1,142,509 ",1.0,g,2018
42,43.0,CA,50.0,Rehab - TIP,Pre-stabilized,4/21/17,10/17/17,11/1/18,,"$29,019,322 ","$9,863,873 ",6.0,g,2018
43,44.0,CA,85.0,New Construction,Stabilized,3/26/07,4/5/07,4/29/09,10/19/10,"$26,134,140 ","$16,451,496 ",8.0,g,2009
44,45.0,CA,60.0,New Construction,Stabilized,2/1/10,3/18/10,5/13/11,10/1/12,"$13,769,748 ","$8,143,517 ",3.0,g,2011
45,46.0,VA,60.0,New Construction,Construction,4/26/17,10/26/18,,,,"$10,230,603 ",6.0,g,
46,47.0,VA,45.0,New Construction,Construction,4/26/17,10/5/18,11/8/19,,,"$5,246,261 ",10.0,g,2019
47,48.0,NY,210.0,Rehab - TIP,Construction,12/26/17,6/28/19,,,,"$35,791,667 ",3.0,g,
48,49.0,NY,112.0,Rehab - TIP,Stabilized,8/15/14,10/1/14,8/31/16,4/1/17,"$12,152,883 ","$7,139,769 ",3.0,g,2016
49,50.0,CA,110.0,New Construction,Lease-Up,1/27/17,9/1/17,2/15/19,,,"$43,874,754 ",7.0,g,2019
50,51.0,NY,55.0,New Construction,Stabilized,3/3/08,8/14/08,8/11/10,7/1/11,"$17,619,579 ","$12,448,403 ",6.0,g,2010
51,52.0,TX,140.0,New Construction,Pre-stabilized,12/14/15,8/24/16,11/17/17,,"$24,125,374 ","$16,855,307 ",4.0,g,2017
52,53.0,TX,120.0,New Construction,Construction,1/25/19,9/25/19,,,,"$14,191,452 ",5.0,g,
53,54.0,TX,93.0,New Construction,Operational,7/11/17,12/11/17,12/27/18,,,"$12,687,725 ",3.0,g,2018
54,55.0,TX,92.0,New Construction,Lease-Up,7/11/17,12/12/17,8/30/19,,,"$11,667,594 ",3.0,g,2019
55,56.0,TX,128.0,New Construction,Stabilized,1/15/10,11/18/10,11/18/11,8/1/13,"$16,057,233 ","$10,870,754 ",5.0,g,2011
56,57.0,CA,21.0,New Construction,Stabilized,6/12/06,1/1/07,12/31/07,3/1/09,"$7,724,849 ","$4,400,000 ",3.0,g,2007
57,58.0,CA,108.0,Rehab - TIP,Pre-stabilized,2/21/18,3/15/19,4/19/19,,"$27,521,258 ","$2,506,206 ",5.0,g,2019
58,59.0,CA,49.0,New Construction & Rehab,Construction,7/10/17,10/10/17,,,,"$13,182,157 ",2.0,g,
59,60.0,CA,45.0,New Construction,Stabilized,2/15/12,8/23/12,9/26/13,10/1/14,"$20,782,137 ","$9,665,249 ",6.0,g,2013
60,61.0,CA,44.0,Rehab - TIP,Stabilized,1/30/15,4/17/15,11/20/15,10/1/16,"$11,345,778 ","$2,810,471 ",3.0,g,2015
61,62.0,CA,18.0,New Construction,Stabilized,9/2/10,12/6/10,12/22/11,4/1/13,"$8,199,565 ","$4,805,807 ",1.0,g,2011
62,63.0,CA,38.0,Acq/Rehab,Stabilized,4/21/10,9/17/10,10/31/11,12/1/12,"$17,564,195 ","$6,422,841 ",5.0,g,2011
63,64.0,CA,27.0,New Construction,Pre-stabilized,6/23/17,11/14/17,2/7/19,,"$14,267,108 ","$8,634,399 ",3.0,g,2019
64,65.0,CA,179.0,Rehab,Stabilized,10/1/07,12/19/07,9/30/08,12/23/09,"$17,906,693 ","$1,427,010 ",5.0,g,2008
65,66.0,TX,152.0,New Construction,Stabilized,12/17/10,8/12/11,10/3/12,4/1/14,"$22,562,205 ","$13,646,601 ",1.0,g,2012
66,67.0,TX,188.0,New Construction,Construction,8/17/18,10/10/19,,,,"$21,137,455 ",2.0,g,
67,68.0,TX,181.0,New Construction,Stabilized,8/27/14,9/29/15,6/8/17,1/1/19,"$26,344,052 ","$18,209,816 ",4.0,g,2017
68,69.0,TX,220.0,New Construction,Stabilized,6/8/15,10/9/15,7/5/17,1/1/19,"$35,672,002 ","$24,416,817 ",3.0,g,2017
69,70.0,TX,132.0,New Construction,Stabilized,2/4/08,6/1/08,9/18/09,6/30/10,"$17,470,851 ","$10,390,054 ",2.0,g,2009
70,71.0,TX,180.0,New Construction,Stabilized,7/5/06,10/1/06,9/30/07,12/1/09,"$19,519,762 ","$13,310,153 ",3.0,g,2007
71,72.0,TX,200.0,New Construction,Stabilized,6/18/15,11/3/15,9/8/17,1/1/19,"$31,600,028 ","$21,794,536 ",3.0,g,2017
72,73.0,TX,100.0,New Construction,Stabilized,9/28/10,5/26/11,7/24/12,11/1/13,"$13,832,742 ","$9,061,769 ",2.0,g,2012
73,74.0,CA,116.0,New Construction,Stabilized,5/11/05,3/1/06,3/20/08,12/1/08,"$41,829,968 ","$27,699,170 ",8.0,g,2008
74,75.0,CA,76.0,Rehab - TIP,Pre-stabilized,9/29/17,3/9/18,12/28/18,,"$22,021,168 ","$6,788,734 ",3.0,g,2018
75,76.0,VA,41.0,Rehab,Stabilized,7/31/06,12/27/06,9/1/07,2/24/09,"$2,016,124 ","$940,371 ",4.0,g,2007
76,77.0,CA,99.0,Rehab - TIP,Stabilized,7/7/16,12/7/16,12/15/17,1/1/19,"$20,660,468 ","$8,311,951 ",1.0,g,2017
77,78.0,NY,24.0,New Construction,Stabilized,3/31/08,6/10/08,6/8/09,4/1/10,"$4,519,017 ","$3,269,000 ",5.0,g,2009
78,79.0,NY,189.0,Rehab - TIP,Stabilized,2/12/14,11/13/14,5/19/16,12/1/16,"$36,527,770 ","$14,288,532 ",4.0,g,2016
79,80.0,TX,119.0,New Construction,Construction,12/20/17,9/20/18,,,,"$17,575,483 ",4.0,g,
80,81.0,TX,144.0,New Construction,Stabilized,10/16/06,3/2/07,6/9/08,1/1/09,"$14,857,556 ","$9,829,375 ",3.0,g,2008
81,82.0,CA,92.0,Rehab - TIP,Stabilized,10/2/15,12/17/15,12/31/16,10/1/17,"$15,642,533 ","$5,461,601 ",3.0,g,2016
